"ID";"TIME";"STATUS"
"5";"2024-06-18 15:07:55";"F_ON"
"6";"2024-06-18 15:10:11";"F_ON"
"7";"2024-06-18 15:43:18";"F_ON"
"8";"2024-06-18 15:54:12";"F_ON"
"9";"2024-06-18 15:55:11";"F_ON"
"10";"2024-06-18 15:59:13";"F_OFF"
"11";"2024-06-18 16:02:22";"F_ON"
"12";"2024-06-18 16:43:05";"F_ON"
"13";"2024-06-18 16:43:50";"F_ON"
"14";"2024-06-18 17:14:44";"F_ON"
"15";"2024-06-18 17:15:28";"F_ON"
"16";"2024-06-18 17:16:28";"F_ON"
"17";"2024-06-18 17:17:27";"F_ON"
"18";"2024-06-18 18:33:34";"F_ON"
"19";"2024-06-18 18:34:33";"F_ON"
"20";"2024-06-18 19:41:41";"F_ON"
"21";"2024-06-18 19:42:41";"F_ON"
"22";"2024-06-18 19:43:05";"F_ON"
"23";"2024-06-18 19:43:49";"F_ON"
"24";"2024-06-18 20:14:45";"F_ON"
"25";"2024-06-18 20:15:29";"F_ON"
"26";"2024-06-19 08:34:59";"F_ON"
"27";"2024-06-19 08:35:05";"F_ON"
"28";"2024-06-19 08:35:49";"F_ON"
"29";"2024-06-19 08:56:35";"F_OFF"
"30";"2024-06-19 08:56:42";"F_ON"
"31";"2024-06-19 08:56:48";"F_OFF"
"32";"2024-06-19 08:56:59";"F_ON"
"33";"2024-06-19 08:57:04";"F_OFF"
"34";"2024-06-19 09:02:50";"F_ON"
"35";"2024-06-19 09:02:56";"F_OFF"
"36";"2024-06-19 09:03:10";"F_ON"
"37";"2024-06-19 09:03:18";"F_OFF"
"38";"2024-06-19 09:03:24";"F_ON"
"39";"2024-06-19 09:03:30";"F_OFF"
"40";"2024-06-19 09:03:36";"F_ON"
"41";"2024-06-19 09:03:48";"F_OFF"
"42";"2024-06-19 09:03:56";"F_ON"
"43";"2024-06-19 09:04:35";"F_OFF"
"44";"2024-06-19 09:04:42";"F_ON"
"45";"2024-06-19 09:05:29";"F_OFF"
"46";"2024-06-19 09:05:36";"F_ON"
"47";"2024-06-19 10:13:56";"F_OFF"
"48";"2024-06-19 10:14:02";"F_ON"
"49";"2024-06-19 10:14:39";"F_OFF"
"50";"2024-06-19 10:17:55";"F_ON"
"51";"2024-06-19 10:18:01";"F_OFF"
"52";"2024-06-19 10:18:26";"F_ON"
"53";"2024-06-19 10:19:16";"F_ON"
"54";"2024-06-19 10:43:03";"F_ON"
"55";"2024-06-19 10:43:50";"F_ON"
"56";"2024-06-19 10:54:00";"F_OFF"
"57";"2024-06-19 10:54:07";"F_ON"
"58";"2024-06-19 10:54:17";"F_OFF"
"59";"2024-06-19 10:58:21";"F_ON"
"60";"2024-06-19 10:58:27";"F_OFF"
"61";"2024-06-19 10:58:34";"F_ON"
"62";"2024-06-19 10:58:42";"F_OFF"
"63";"2024-06-19 10:58:52";"F_ON"
"64";"2024-06-19 11:14:43";"F_ON"
"65";"2024-06-19 11:15:28";"F_ON"
"66";"2024-06-19 11:20:15";"F_ON"
"67";"2024-06-19 11:21:15";"F_ON"
"68";"2024-06-19 11:21:21";"F_OFF"
"69";"2024-06-19 11:26:05";"F_ON"
"70";"2024-06-19 11:26:13";"F_OFF"
"71";"2024-06-19 11:26:20";"F_ON"
"72";"2024-06-19 11:26:27";"F_OFF"
"73";"2024-06-19 11:26:47";"F_ON"
"74";"2024-06-19 11:30:49";"F_ON"
"75";"2024-06-19 11:32:04";"F_ON"
"76";"2024-06-19 11:46:36";"F_OFF"
"77";"2024-06-19 11:46:41";"F_ON"
"78";"2024-06-19 11:48:31";"F_OFF"
"79";"2024-06-19 11:48:37";"F_ON"
"80";"2024-06-19 12:08:55";"F_OFF"
"81";"2024-06-19 12:09:03";"F_ON"
"82";"2024-06-19 12:09:11";"F_OFF"
"83";"2024-06-19 12:09:18";"F_ON"
"84";"2024-06-19 12:09:25";"F_OFF"
"85";"2024-06-19 12:09:48";"F_ON"
"86";"2024-06-19 12:09:54";"F_OFF"
"87";"2024-06-19 12:10:07";"F_ON"
"88";"2024-06-19 12:10:14";"F_OFF"
"89";"2024-06-19 12:10:20";"F_ON"
"90";"2024-06-19 12:10:26";"F_OFF"
"91";"2024-06-19 12:10:33";"F_ON"
"92";"2024-06-19 12:10:39";"F_OFF"
"93";"2024-06-19 12:10:45";"F_ON"
"94";"2024-06-19 12:30:48";"F_ON"
"95";"2024-06-19 12:31:48";"F_ON"
"96";"2024-06-19 13:32:49";"F_ON"
"97";"2024-06-19 13:33:32";"F_ON"
"98";"2024-06-19 13:36:25";"F_ON"
"99";"2024-06-19 13:37:10";"F_ON"
"100";"2024-06-19 13:43:02";"F_ON"
"101";"2024-06-19 13:43:46";"F_ON"
"102";"2024-06-19 13:51:14";"F_ON"
"103";"2024-06-19 13:52:13";"F_ON"
"104";"2024-06-19 14:00:36";"F_OFF"
"105";"2024-06-19 14:00:43";"F_ON"
"106";"2024-06-19 14:02:29";"F_OFF"
"107";"2024-06-19 14:02:37";"F_ON"
"108";"2024-06-19 14:02:45";"F_OFF"
"109";"2024-06-19 14:06:59";"F_ON"
"110";"2024-06-19 14:07:06";"F_OFF"
"111";"2024-06-19 14:07:35";"F_ON"
"112";"2024-06-19 14:07:41";"F_OFF"
"113";"2024-06-19 14:07:47";"F_ON"
"114";"2024-06-19 14:07:54";"F_OFF"
"115";"2024-06-19 14:08:02";"F_ON"
"116";"2024-06-19 14:08:10";"F_OFF"
"117";"2024-06-19 14:08:16";"F_ON"
